--TAB SEPARATED DATA FILE--
CAMERA SETTINGS:
Resolution = (820, 616)
Shutter speed = 499907 microseconds
LED CYCLE:
Blue Illumination: 300s
Green Illumination: 1s
Number of Cycles: 0 <-- (0 is continuous loop)

ITERATION	DATE	TIME	TEMPERATURE	HUMIDITY	ISO	ANALOG GAIN	DIGITAL GAIN	
1	2019_12_11	16:52:44	24.0	45.0	100	331/128	11/256
1	2019_12_11	16:52:44	24.0	44.0	800	331/128	11/256
2	2019_12_11	16:58:01	24.0	45.0	100	2521/256	11/256
2	2019_12_11	16:58:01	24.0	46.0	800	331/128	11/256
3	2019_12_11	17:03:28	25.0	46.0	100	2521/256	11/256
3	2019_12_11	17:03:28	25.0	45.0	800	331/128	11/256
4	2019_12_11	17:08:43	25.0	45.0	100	2521/256	11/256
4	2019_12_11	17:08:43	25.0	46.0	800	331/128	11/256
5	2019_12_11	17:13:56	25.0	46.0	100	2521/256	11/256
5	2019_12_11	17:13:56	25.0	46.0	800	331/128	11/256
6	2019_12_11	17:19:27	25.0	46.0	100	2521/256	11/256
6	2019_12_11	17:19:27	25.0	46.0	800	331/128	11/256
7	2019_12_11	17:24:39	25.0	46.0	100	2521/256	11/256
7	2019_12_11	17:24:39	26.0	47.0	800	331/128	11/256
8	2019_12_11	17:29:54	26.0	47.0	100	2521/256	11/256
8	2019_12_11	17:29:54	26.0	47.0	800	331/128	11/256
9	2019_12_11	17:35:39	26.0	47.0	100	2521/256	11/256
9	2019_12_11	17:35:39	26.0	47.0	800	331/128	11/256
10	2019_12_11	17:40:57	26.0	48.0	100	2521/256	11/256
10	2019_12_11	17:40:57	26.0	48.0	800	331/128	11/256
11	2019_12_11	17:46:12	26.0	48.0	100	2521/256	11/256
11	2019_12_11	17:46:12	27.0	47.0	800	331/128	11/256
12	2019_12_11	17:52:09	27.0	47.0	100	2521/256	11/256
12	2019_12_11	17:52:09	27.0	47.0	800	331/128	11/256
13	2019_12_11	17:57:21	27.0	47.0	100	2521/256	11/256
13	2019_12_11	17:57:21	27.0	47.0	800	331/128	11/256
14	2019_12_11	18:02:40	27.0	47.0	100	2521/256	11/256
14	2019_12_11	18:02:40	27.0	48.0	800	331/128	11/256
15	2019_12_11	18:08:50	27.0	49.0	100	2521/256	11/256
15	2019_12_11	18:08:50	27.0	48.0	800	331/128	11/256
16	2019_12_11	18:14:07	27.0	48.0	100	2521/256	11/256
16	2019_12_11	18:14:07	27.0	49.0	800	331/128	11/256
17	2019_12_11	18:19:19	27.0	49.0	100	2521/256	11/256
17	2019_12_11	18:19:19	27.0	49.0	800	331/128	11/256
18	2019_12_11	18:25:41	27.0	49.0	100	2521/256	11/256
18	2019_12_11	18:25:41	27.0	49.0	800	331/128	11/256
19	2019_12_11	18:31:01	28.0	51.0	100	2521/256	11/256
19	2019_12_11	18:31:01	28.0	50.0	800	331/128	11/256
20	2019_12_11	18:36:18	28.0	50.0	100	2521/256	11/256
20	2019_12_11	18:36:18	27.0	52.0	800	331/128	11/256
21	2019_12_11	18:42:47	28.0	51.0	100	2521/256	11/256
21	2019_12_11	18:42:47	28.0	52.0	800	331/128	11/256
22	2019_12_11	18:48:02	28.0	51.0	100	2521/256	11/256
22	2019_12_11	18:48:02	28.0	52.0	800	331/128	11/256
23	2019_12_11	18:53:15	28.0	52.0	100	2521/256	11/256
23	2019_12_11	18:53:15	28.0	52.0	800	331/128	11/256
24	2019_12_11	18:59:59	28.0	52.0	100	2521/256	11/256
24	2019_12_11	18:59:59	28.0	53.0	800	331/128	11/256
25	2019_12_11	19:05:12	28.0	53.0	100	2521/256	11/256
25	2019_12_11	19:05:12	28.0	53.0	800	331/128	11/256
26	2019_12_11	19:10:27	28.0	54.0	100	2521/256	11/256
26	2019_12_11	19:10:27	28.0	53.0	800	331/128	11/256
27	2019_12_11	19:17:29	28.0	54.0	100	2521/256	11/256
27	2019_12_11	19:17:29	28.0	53.0	800	331/128	11/256
28	2019_12_11	19:22:42	28.0	54.0	100	2521/256	11/256
28	2019_12_11	19:22:42	28.0	54.0	800	331/128	11/256
29	2019_12_11	19:27:54	28.0	54.0	100	2521/256	11/256
29	2019_12_11	19:27:54	28.0	54.0	800	331/128	11/256
30	2019_12_11	19:35:03	28.0	54.0	100	2521/256	11/256
30	2019_12_11	19:35:03	28.0	54.0	800	331/128	11/256
31	2019_12_11	19:40:19	28.0	54.0	100	2521/256	11/256
31	2019_12_11	19:40:19	28.0	55.0	800	331/128	11/256
32	2019_12_11	19:45:37	28.0	54.0	100	2521/256	11/256
32	2019_12_11	19:45:37	28.0	55.0	800	331/128	11/256
33	2019_12_11	19:52:55	28.0	55.0	100	2521/256	11/256
33	2019_12_11	19:52:55	28.0	56.0	800	331/128	11/256
34	2019_12_11	19:58:08	28.0	56.0	100	2521/256	11/256
